time:100.839,vol:730.712
time:100.938,vol:730.713
time:101.069,vol:730.713
time:101.19,vol:730.718
time:101.341,vol:730.721
time:101.514,vol:730.723
time:101.64,vol:730.723
time:101.789,vol:730.723
time:101.968,vol:730.723
time:102.088,vol:730.725
time:102.24,vol:730.726
time:102.409,vol:730.728
time:102.54,vol:730.73
time:102.689,vol:730.749
time:102.839,vol:730.825
time:102.939,vol:730.949
time:103.09,vol:731.136
time:103.239,vol:731.218
time:103.39,vol:731.411
time:103.492,vol:732.259
time:103.59,vol:732.695
time:103.688,vol:734.47
time:103.84,vol:736.33
time:103.949,vol:737.573
time:104.088,vol:739.21
time:104.239,vol:740.915
time:104.345,vol:743.147
time:104.493,vol:744.968
time:104.64,vol:746.35
time:104.751,vol:748.242
time:104.889,vol:750.469
time:105.041,vol:751.746
time:105.141,vol:753.279
time:105.288,vol:753.661
time:105.425,vol:754.047
time:105.542,vol:755.037
time:105.692,vol:755.844
time:105.791,vol:755.986
time:105.942,vol:757.374
time:106.089,vol:758.247
time:106.238,vol:758.858
time:106.34,vol:759.373
time:106.439,vol:760.389
time:106.542,vol:761.178
time:106.689,vol:761.711
time:106.789,vol:761.956
time:106.94,vol:762.474
time:107.088,vol:762.878
time:107.239,vol:763.381
time:107.339,vol:763.991
time:107.489,vol:764.865
time:107.638,vol:765.645
time:107.741,vol:766.713
time:107.89,vol:768.107
time:107.989,vol:769.241
time:108.088,vol:771.403
time:108.239,vol:773.335
time:108.339,vol:775.414
time:108.489,vol:776.981
time:108.59,vol:777.438
time:108.688,vol:778.566
time:108.841,vol:779.031
time:108.94,vol:780.108
time:109.09,vol:781.11
time:109.239,vol:781.672
time:109.338,vol:782.521
time:109.488,vol:783.428
time:109.589,vol:784.037
time:109.689,vol:784.953
time:109.838,vol:785.598
time:109.943,vol:786.117
time:110.091,vol:786.699
time:110.188,vol:787.089
time:110.339,vol:787.713
time:110.489,vol:788.073
time:110.598,vol:788.155
time:110.748,vol:788.51
time:110.89,vol:788.64
time:111.04,vol:788.693
time:111.139,vol:788.697
time:111.289,vol:788.719
time:111.39,vol:788.74
time:111.544,vol:788.888
time:111.691,vol:789.145
time:111.841,vol:789.394
time:111.943,vol:790.21
time:112.09,vol:790.665
time:112.189,vol:790.902
time:112.297,vol:791.244
time:112.438,vol:791.283
time:112.539,vol:791.293
time:112.689,vol:791.299
time:112.839,vol:791.302
time:112.945,vol:791.315
time:113.09,vol:791.573
time:113.189,vol:791.576
time:113.344,vol:797.241
time:113.488,vol:801.838
time:113.694,vol:804.378
time:113.808,vol:809.325
time:113.908,vol:810.077
time:114.081,vol:810.578
time:114.209,vol:814.687
time:114.456,vol:815.953
time:114.57,vol:819.074
time:114.969,vol:820.904
time:115.085,vol:823.398
time:115.299,vol:824.098
time:115.415,vol:825.324
time:115.802,vol:825.41
time:115.919,vol:825.5
time:116.016,vol:825.538
time:116.322,vol:825.551
time:116.435,vol:825.881
time:116.618,vol:826.619
time:116.738,vol:827.334
time:116.968,vol:827.614
time:117.082,vol:827.849
time:117.252,vol:827.971
time:117.381,vol:828.113
time:117.533,vol:828.738
time:117.718,vol:829.033
time:117.833,vol:829.151
time:117.933,vol:829.292
time:118.082,vol:829.712
time:118.185,vol:830.01
time:118.335,vol:830.425
time:118.481,vol:830.477
time:118.654,vol:830.509
time:118.783,vol:830.549
time:118.884,vol:830.655
time:119.032,vol:830.704
time:119.134,vol:830.798
time:119.282,vol:831.489
time:119.383,vol:831.499
time:119.534,vol:831.613
time:119.681,vol:831.754
time:119.833,vol:831.897
time:119.932,vol:831.91
time:120.081,vol:831.943
time:120.232,vol:831.943
time:120.343,vol:831.943
time:120.484,vol:831.943
time:120.583,vol:831.943
time:120.742,vol:831.958
time:120.881,vol:831.963
time:120.982,vol:831.973
time:121.083,vol:831.98
time:121.232,vol:831.992
time:121.382,vol:832.003
time:121.54,vol:832.018
time:121.682,vol:832.026
time:121.782,vol:832.028
time:121.943,vol:832.035
time:122.085,vol:832.079
time:122.232,vol:832.506
time:122.343,vol:833.192
time:122.481,vol:833.634
time:122.632,vol:834.463
time:122.74,vol:835.008
time:122.882,vol:836.018
time:122.984,vol:836.088
time:123.134,vol:836.964
time:123.233,vol:837.62
time:123.414,vol:838.022
time:123.532,vol:838.733
time:123.634,vol:839.458
time:123.783,vol:840.23
time:123.881,vol:841.279
time:124.031,vol:842.046
time:124.133,vol:842.365
time:124.285,vol:844.291
time:124.432,vol:845.233
time:124.584,vol:846.406
time:124.741,vol:848.2
time:124.887,vol:848.865
time:125.032,vol:851.509
time:125.139,vol:853.82
time:125.384,vol:854.82
time:125.501,vol:859.465
time:125.682,vol:859.678
time:125.809,vol:860.58
time:126.025,vol:861.008
time:126.153,vol:861.832
time:126.25,vol:862.355
time:126.406,vol:863.264
time:126.551,vol:864.858
time:126.749,vol:866.251
time:126.851,vol:867.806
time:127.012,vol:869.986
time:127.15,vol:870.483
time:127.301,vol:870.994
time:127.42,vol:871.124
time:127.55,vol:871.447
time:127.652,vol:871.47
time:127.754,vol:871.568
time:127.899,vol:871.672
time:128.003,vol:871.798
time:128.184,vol:871.941
time:128.301,vol:872.066
time:128.451,vol:872.12
time:128.551,vol:872.153
time:128.671,vol:872.167
time:128.809,vol:872.223
time:128.95,vol:872.264
time:129.113,vol:872.328
time:129.251,vol:872.367
time:129.355,vol:872.422
time:129.502,vol:872.49
time:129.651,vol:872.563
time:129.808,vol:872.613
time:129.953,vol:872.643
time:130.055,vol:872.645
time:130.21,vol:872.661
time:130.35,vol:872.704
time:130.518,vol:872.756
time:130.65,vol:872.79
time:130.751,vol:872.826
time:130.902,vol:872.827
time:131.011,vol:872.828
time:131.151,vol:872.829
time:131.251,vol:872.829
time:131.41,vol:872.831
time:131.561,vol:872.872
time:131.703,vol:872.9
time:131.851,vol:872.908
time:132.014,vol:872.918
time:132.161,vol:872.935
time:132.302,vol:872.957
time:132.457,vol:872.969
time:132.552,vol:872.985
time:132.654,vol:873.029
time:132.8,vol:873.041
time:132.901,vol:873.05
time:133.051,vol:873.058
time:133.157,vol:873.069
time:133.304,vol:873.078
time:133.418,vol:873.111
time:133.551,vol:873.12
time:133.653,vol:873.169
time:133.757,vol:873.236
time:133.901,vol:873.25
time:134.007,vol:873.284
time:134.15,vol:873.293
time:134.253,vol:873.294
time:134.353,vol:873.308
time:134.501,vol:873.311
time:134.604,vol:873.345
time:134.751,vol:873.421
time:134.9,vol:873.423
time:135.011,vol:873.448
time:135.15,vol:873.451
time:135.251,vol:873.452
time:135.4,vol:873.456
time:135.551,vol:873.463
time:135.652,vol:873.464
time:135.811,vol:873.464
time:135.951,vol:873.482
time:136.108,vol:873.482
time:136.251,vol:873.484
time:136.412,vol:873.492
time:136.552,vol:873.499
time:136.7,vol:873.506
